id,name,species,culmen depth (mm),culmen length (mm),flipper length (mm),mass (kg)
N5A1,james,Gentoo,13.6,44.0,208.0,4.35
N16A1,kreiter,Gentoo,13.9,43.8,208.0,4.3
N63A1,harrison,Adelie,17.0,38.6,188.0,2.9
N38A2,coyle,Adelie,19.1,42.1,195.0,4.0
N29A1,berwyn,Adelie,17.1,36.4,184.0,2.85
N13A1,alta vista,Adelie,17.2,38.8,180.0,3.8
N14A1,jarlath,Gentoo,14.4,45.1,210.0,4.4
N37A2,oakley,Adelie,19.4,37.2,184.0,3.9
N21A2,mccook,Adelie,18.9,40.1,188.0,4.3
N23A2,naples,Gentoo,15.0,49.1,228.0,5.5
N61A1,lovejoy,Chinstrap,18.4,50.5,200.0,3.4
N94A2,lavergne,Chinstrap,19.9,49.3,203.0,4.05
N54A2,ohio,Gentoo,15.6,46.4,221.0,5.0
N84A2,st joseph,Adelie,18.1,37.8,193.0,3.75
N30A2,overhill,Adelie,19.1,41.1,188.0,4.1
N1A1,waldron,Gentoo,14.5,49.1,212.0,4.625
N82A1,root,Adelie,16.8,37.3,192.0,3.0
N18A1,anson,Gentoo,14.5,45.5,212.0,4.75
N60A1,dawson,Gentoo,13.8,45.2,215.0,4.75
N85A1,albany,Chinstrap,16.6,43.2,187.0,2.9
N47A1,galewood,Gentoo,14.3,48.2,210.0,4.6
N61A1,hazel,Chinstrap,17.9,46.5,192.0,3.5
N79A2,asher,Adelie,17.9,39.7,193.0,4.25
N62A2,van buren,Chinstrap,20.0,52.8,205.0,4.55
N46A2,natoma,Gentoo,15.0,47.8,215.0,5.65
N18A1,crest line,Gentoo,13.8,45.3,208.0,4.2
N17A1,eugenie,Gentoo,14.5,43.2,208.0,4.45
N56A2,manistee,Gentoo,17.0,59.6,230.0,6.05
N100A2,wall,Chinstrap,18.7,50.2,198.0,3.775
N66A2,chase,Chinstrap,18.2,51.3,197.0,3.75
N13A2,la crosse,Gentoo,14.2,51.3,218.0,5.3
N36A1,kensington,Gentoo,13.7,40.9,214.0,4.65
N71A1,troy,Adelie,17.6,38.8,191.0,3.275
N15A1,elmdale,Gentoo,14.4,46.5,217.0,4.9
N39A1,flournoy,Gentoo,13.5,42.0,210.0,4.15
N28A2,pitney,Gentoo,15.8,53.4,219.0,5.5
N30A1,dobson,Adelie,17.9,36.0,190.0,3.45
N13A2,escanaba,Gentoo,14.1,48.5,220.0,5.3
N72A1,mcleod,Adelie,17.1,39.0,191.0,3.05
N74A2,lotus,Chinstrap,17.5,46.2,187.0,3.65
N55A2,blackstone,Gentoo,14.8,46.5,217.0,5.2
N28A1,prindiville,Adelie,17.0,37.6,185.0,3.6
N88A1,potawatomie,Chinstrap,18.7,51.5,187.0,3.25
N22A1,charleston,Adelie,17.9,35.0,190.0,3.45
N29A2,mason,Adelie,18.9,37.5,179.0,2.975
N22A2,commonwealth,Adelie,18.9,40.9,184.0,3.9
N7A1,village,Adelie,17.6,41.1,182.0,3.2
N71A1,point,Chinstrap,20.0,50.3,197.0,3.3
N29A2,lessing,Adelie,18.0,41.6,192.0,3.95
N85A1,sandburg,Adelie,17.1,36.0,187.0,3.7
N11A2,museum,Adelie,18.7,37.7,180.0,3.6
N62A1,wayman,Chinstrap,17.8,46.4,191.0,3.7
N39A2,sherwin,Adelie,17.6,42.9,196.0,4.7
N12A1,division,Adelie,19.2,35.9,189.0,3.8
N51A1,irene,Gentoo,14.4,46.2,214.0,4.65
N89A2,devon,Chinstrap,19.0,52.0,197.0,4.15
N1A2,leavitt,Adelie,17.4,39.5,186.0,3.8
N26A2,lynch,Adelie,18.4,40.8,195.0,3.9
N63A2,fairview,Chinstrap,20.8,54.2,201.0,4.3
N25A1,gladys,Adelie,19.3,37.6,181.0,3.3
N47A2,rhodes,Adelie,20.0,41.0,203.0,4.725
N33A2,hampden,Gentoo,13.5,46.5,210.0,4.55
N44A1,langley,Gentoo,13.1,42.9,215.0,5.0
N54A1,forest,Gentoo,15.0,47.7,216.0,4.75
N24A1,vanderpoel,Adelie,17.5,39.0,186.0,3.55
N14A1,postoffice,Gentoo,14.0,47.5,212.0,4.875
N24A2,mcfetridge,Adelie,18.5,42.2,180.0,3.55
N69A1,maryland,Chinstrap,18.3,47.6,195.0,3.85
N41A1,ainslie,Gentoo,14.3,50.2,218.0,5.7
N37A2,liano,Gentoo,14.6,48.4,213.0,5.85
N90A1,hickory,Chinstrap,16.4,48.1,199.0,3.325
N23A2,hamlin,Adelie,18.6,41.4,191.0,3.7
N84A1,evergreen,Adelie,17.8,36.0,195.0,3.45
N3A1,kercheval,Adelie,19.3,36.7,193.0,3.45
N79A1,esmond,Adelie,16.5,37.0,185.0,3.4
N32A1,frontier,Gentoo,15.2,50.5,216.0,5.0
N60A2,maud,Adelie,19.5,42.2,197.0,4.275
N51A1,haskins,Adelie,18.6,37.9,193.0,2.925
N22A2,conservatory,Gentoo,17.0,55.9,228.0,5.6
N37A1,hartwell,Gentoo,13.7,45.5,214.0,4.65
N6A2,menomonee,Adelie,17.3,37.8,180.0,3.7
N34A1,talcott,Gentoo,15.2,43.5,213.0,4.65
N62A1,karlov,Chinstrap,19.2,51.3,193.0,3.65
N72A1,rutherford,Chinstrap,18.6,46.4,190.0,3.45
N29A1,louie,Adelie,19.0,41.1,182.0,3.425
N73A1,hoxie,Chinstrap,17.3,42.4,181.0,3.6
N11A1,muskegon,Adelie,18.3,37.8,174.0,3.4
N8A1,corcoran,Gentoo,13.8,44.9,212.0,4.75
N69A1,neenah,Adelie,15.9,35.2,186.0,3.05
N73A2,larned,Adelie,19.2,43.1,197.0,3.5
N15A2,bosak,Gentoo,17.1,52.2,228.0,5.4
N75A1,commercial,Chinstrap,19.1,50.9,196.0,3.55
N48A2,cullerton,Adelie,18.9,40.8,208.0,4.3
N40A2,brennan,Adelie,19.4,35.1,193.0,4.2
N38A1,browning,Gentoo,14.6,45.8,210.0,4.2
N37A1,moffat,Adelie,16.8,40.9,191.0,3.7
N50A2,patton,Gentoo,14.2,42.8,209.0,4.7
N32A2,st clair,Adelie,19.4,41.8,198.0,4.45
N56A1,palatine,Gentoo,15.0,46.4,216.0,4.7
N6A1,wesley,Gentoo,14.6,47.4,212.0,4.725
N86A2,cumberland,Chinstrap,18.5,50.8,201.0,4.45
N22A1,cheltenham,Adelie,17.8,39.5,188.0,3.3
N77A2,elbridge,Adelie,17.5,41.1,190.0,3.9
N43A1,sacramento,Gentoo,14.8,45.2,212.0,5.2
N18A2,emerald,Gentoo,14.9,46.2,221.0,5.3
N13A2,rascher,Adelie,18.9,35.3,187.0,3.8
N19A2,prescott,Gentoo,15.7,50.8,226.0,5.2
N60A1,fielding,Adelie,17.7,39.7,193.0,3.2
N58A1,lacey,Adelie,16.5,38.1,198.0,3.825
N35A1,miltimore,Gentoo,14.1,46.2,217.0,4.375
N94A1,nettleton,Chinstrap,16.6,45.2,191.0,3.25
N34A2,potomac,Adelie,18.4,39.7,190.0,3.9
N6A2,calhoun,Gentoo,16.0,49.6,225.0,5.7
N74A1,dakin,Chinstrap,19.5,49.0,210.0,3.95
N31A1,evans,Gentoo,13.2,46.1,211.0,4.5
N43A2,wolfram,Gentoo,16.1,49.9,213.0,5.4
N55A1,surf,Adelie,17.0,38.1,181.0,3.175
N92A2,ernst,Chinstrap,19.7,50.7,203.0,4.05
N64A1,kedzie,Adelie,17.0,35.7,189.0,3.35
N58A2,cregier,Gentoo,16.3,51.1,220.0,6.0
N34A1,mankato,Adelie,19.0,33.5,190.0,3.6
N75A2,schubert,Chinstrap,17.0,45.5,196.0,3.5
N70A2,eisenhower,Chinstrap,19.6,50.5,201.0,4.05
N99A2,baldwin,Chinstrap,18.2,49.6,193.0,3.775
N23A1,gettysburg,Adelie,18.1,34.5,187.0,2.9
N4A2,wolcott,Gentoo,17.3,44.4,219.0,5.25
N5A2,cicero,Adelie,20.2,42.0,190.0,4.25
N8A1,fairhope,Adelie,21.1,34.6,198.0,4.4
N69A2,vernon,Chinstrap,18.1,52.0,201.0,4.05
N18A1,givins,Adelie,18.6,37.9,172.0,3.15
N58A2,bessie coleman,Adelie,20.3,45.6,191.0,4.6
N12A2,liberty,Adelie,18.1,38.2,185.0,3.95
N42A2,lexington,Gentoo,15.8,46.3,215.0,5.05
N69A2,fairbanks,Adelie,19.0,40.6,199.0,4.0
N19A2,clybourn,Gentoo,15.7,54.3,231.0,5.65
N87A1,monon,Chinstrap,17.9,50.1,190.0,3.4
N50A1,lamon,Gentoo,15.3,47.3,222.0,5.25
N53A1,wallace,Adelie,17.2,38.6,199.0,3.75
N98A2,kennedy,Chinstrap,19.8,55.8,207.0,4.0
N32A1,latrobe,Gentoo,14.1,48.7,210.0,4.45
N8A2,kennison,Adelie,17.8,36.6,185.0,3.7
N64A2,bennett,Adelie,18.6,41.1,189.0,3.325
N39A2,le mai,Gentoo,15.2,49.2,221.0,6.3
N1A1,jefferson,Adelie,18.7,39.1,181.0,3.75
N49A1,van vlissingen,Adelie,16.0,37.7,183.0,3.075
N67A2,holbrook,Chinstrap,19.9,51.3,198.0,3.7
N23A1,nokomis,Adelie,17.0,36.4,195.0,3.325
N12A2,natchez,Gentoo,15.8,45.2,215.0,5.3
N44A2,mulligan,Gentoo,15.1,46.1,215.0,5.1
N7A1,edward barron,Gentoo,13.7,45.3,210.0,4.3
N21A1,pershing,Adelie,17.7,39.6,186.0,3.5
N80A1,byron,Adelie,17.1,40.2,193.0,3.4
N66A2,st helen,Adelie,19.8,37.7,198.0,3.5
N38A1,newberry,Adelie,16.1,36.2,187.0,3.55
N46A1,brighton,Adelie,17.1,34.0,185.0,3.4
N11A1,lunt,Gentoo,13.9,45.5,210.0,4.2
N38A1,winnebago,Gentoo,13.7,47.2,214.0,4.925
N99A1,gole,Chinstrap,18.1,43.5,202.0,3.4
N76A2,denvir,Adelie,18.5,37.5,199.0,4.475
N17A2,kenton,Gentoo,15.3,50.4,224.0,5.55
N81A1,matson,Adelie,15.5,32.1,188.0,3.05
N10A2,dan ryan,Adelie,21.5,46.0,194.0,4.2
N71A2,newport,Adelie,18.3,41.5,195.0,4.3
N14A2,odell,Gentoo,15.0,50.1,225.0,5.0
N35A2,lansing,Gentoo,16.0,55.1,230.0,5.85
N20A1,mcalpin,Gentoo,15.8,49.4,216.0,4.925
N12A1,jeffery,Gentoo,13.3,44.9,213.0,5.1
N34A1,normandy,Gentoo,14.6,45.4,211.0,4.8
N25A2,dickens,Adelie,19.1,37.6,194.0,3.75
N61A2,navajo,Chinstrap,19.0,49.5,200.0,3.8
N36A2,harbor,Adelie,18.5,42.8,195.0,4.25
N64A2,southport,Chinstrap,17.8,45.2,198.0,3.95
N7A2,college,Gentoo,15.0,49.6,216.0,4.75
N14A2,packers,Gentoo,17.0,52.1,230.0,5.55
N28A2,goethe,Adelie,18.2,41.1,192.0,4.05
N72A2,schorsch,Adelie,18.0,44.1,210.0,4.0
N92A1,knox,Chinstrap,17.3,45.7,193.0,3.6
N40A1,st johns,Adelie,18.8,36.7,187.0,3.8
N58A1,chicora,Gentoo,14.2,47.5,209.0,4.6
N49A2,race,Adelie,18.5,40.3,196.0,4.35
N50A2,palmer,Adelie,18.5,43.2,192.0,4.1
N11A2,south chicago,Gentoo,15.9,50.5,225.0,5.4
N21A1,warren,Adelie,16.7,39.5,178.0,3.25
N29A1,lehigh,Gentoo,14.0,43.3,208.0,4.575
N86A1,exchange,Chinstrap,17.9,50.9,196.0,3.675
N1A2,benson,Gentoo,15.6,52.5,221.0,5.45
N31A2,olcott,Gentoo,16.3,50.0,230.0,5.7
N35A1,las casas,Gentoo,13.4,43.3,209.0,4.4
N50A1,grady,Adelie,16.1,33.1,178.0,2.9
N32A2,estes,Gentoo,15.9,49.8,229.0,5.95
N16A2,jean,Gentoo,15.0,45.5,220.0,5.0
N42A1,seminary,Adelie,19.5,36.3,190.0,3.8
N15A1,schilling,Gentoo,15.0,47.5,218.0,4.95
N44A2,oshkosh,Adelie,18.8,38.9,190.0,3.6
N32A2,garland,Gentoo,15.2,50.0,218.0,5.7
N3A2,hollett,Adelie,20.6,39.3,190.0,3.65
N61A2,farwell,Chinstrap,19.5,50.0,196.0,3.9
N39A1,edbrooke,Adelie,17.2,34.6,189.0,3.2
N17A1,altgeld,Adelie,18.6,40.6,183.0,3.55
N77A1,gordon,Adelie,17.6,38.1,187.0,3.425
N41A2,institute,Adelie,20.3,41.3,194.0,3.55
N36A1,walnut,Gentoo,15.7,44.5,217.0,4.875
N87A2,seeley,Chinstrap,19.6,49.0,212.0,4.3
N17A2,avalon,Adelie,17.9,40.5,187.0,3.2
N30A1,mccormick,Adelie,16.2,35.5,195.0,3.35
N95A1,kenosha,Chinstrap,18.8,50.2,202.0,3.8
N2A1,polk,Adelie,18.0,40.3,195.0,3.25
N9A1,latham,Adelie,19.0,38.7,195.0,3.45
N2A2,haines,Gentoo,16.3,48.4,220.0,5.4
N18A2,gunnison,Gentoo,16.1,49.5,224.0,5.65
N24A2,berenice,Adelie,18.8,40.6,193.0,3.8
N60A2,belmont,Gentoo,16.4,45.2,223.0,5.95
N13A1,pacific,Gentoo,14.4,43.4,218.0,4.6
N51A2,castleisland,Gentoo,16.2,49.5,229.0,5.8
N26A1,pierce,Adelie,18.0,36.5,182.0,3.15
N66A1,ross,Adelie,17.2,36.2,187.0,3.15
N46A2,farrar,Adelie,18.1,39.6,186.0,4.45
N5A2,science,Gentoo,15.7,48.7,208.0,5.35
N72A1,cedar,Chinstrap,16.6,46.9,192.0,2.7
N8A1,tripp,Gentoo,15.9,50.5,222.0,5.55
N9A2,central park,Adelie,20.7,42.5,197.0,4.5
N4A1,everell,Gentoo,13.7,42.6,213.0,4.95
N20A2,hyde park,Gentoo,14.6,46.9,222.0,4.875
N95A2,gratten,Chinstrap,19.4,45.6,194.0,3.525
N61A2,pippin,Adelie,18.3,42.7,196.0,4.075
N45A2,normal,Adelie,18.1,41.1,205.0,4.3
N23A1,ardmore,Gentoo,15.5,47.2,215.0,4.975
N27A1,cyril,Adelie,18.5,36.0,186.0,3.1
N36A2,essex,Gentoo,16.2,48.8,222.0,6.0
N25A2,congress plaza,Adelie,19.1,39.8,184.0,4.65
N80A2,chanay,Adelie,17.2,40.6,187.0,3.475
N42A2,gale,Adelie,18.6,36.9,189.0,3.5
N82A2,anthony,Adelie,18.7,39.0,185.0,3.65
N67A1,ridge,Chinstrap,18.6,49.7,195.0,3.6
N27A1,fremont,Adelie,16.9,35.7,185.0,3.15
N93A1,catherine,Chinstrap,17.3,42.5,187.0,3.35
N67A1,carmen,Adelie,17.0,40.2,176.0,3.45
N38A2,riversedge,Gentoo,15.7,49.3,217.0,5.85
N67A2,jones,Chinstrap,16.8,47.5,199.0,3.9
N62A2,kirkland,Chinstrap,18.7,45.4,188.0,3.525
N71A2,arcade,Chinstrap,17.8,58.0,181.0,3.7
N25A1,gilbert,Adelie,16.6,36.5,181.0,2.85
N28A1,christiana,Gentoo,14.7,41.7,210.0,4.7
N89A1,burling,Chinstrap,17.9,46.7,195.0,3.3
N72A2,marcey,Chinstrap,19.9,53.5,205.0,4.5
N51A2,harvard,Adelie,18.9,39.7,184.0,3.55
N39A1,tremont,Gentoo,14.3,46.8,215.0,4.85
N40A2,hollywood,Gentoo,15.1,48.7,222.0,5.35
N7A2,geneva,Adelie,21.2,38.6,191.0,3.8
N55A1,george,Gentoo,15.6,48.2,221.0,5.1
N4A1,wallen,Adelie,17.8,38.9,181.0,3.625
N30A2,keota,Adelie,21.2,42.3,191.0,4.15
N56A1,indianapolis,Gentoo,14.5,45.1,207.0,5.05
N35A2,dauphin,Gentoo,15.4,46.8,215.0,5.15
N28A2,everett,Adelie,18.8,39.6,190.0,4.6
N85A2,keene,Chinstrap,19.4,50.6,193.0,3.8
N81A2,lake shore,Adelie,17.0,40.7,190.0,3.725
N47A1,park,Adelie,17.9,35.0,192.0,3.725
N36A1,charles,Adelie,17.5,35.5,190.0,3.7
N96A1,richland,Chinstrap,19.5,51.9,206.0,3.95
N100A1,canal,Chinstrap,19.0,50.8,210.0,4.1
N21A2,monterey,Gentoo,16.5,51.1,225.0,5.25
N93A2,keeler,Chinstrap,18.8,52.2,197.0,3.45
N85A2,lake,Adelie,18.5,41.5,201.0,4.0
N47A2,lloyd,Gentoo,15.3,50.0,220.0,5.55
N49A2,moody,Adelie,20.0,37.8,190.0,4.25
N61A1,nordica,Adelie,20.7,39.6,191.0,3.9
N22A2,loop,Adelie,19.5,42.0,200.0,4.05
N20A1,merrion,Gentoo,14.2,45.8,219.0,4.7
N15A2,hermitage,Gentoo,15.4,45.0,220.0,5.05
N22A1,banks,Gentoo,15.0,48.5,219.0,4.85
N24A1,longwood,Gentoo,13.8,47.3,216.0,4.725
N27A2,wilcox,Adelie,21.1,41.3,195.0,4.4
N44A1,loyola,Adelie,19.2,38.3,189.0,3.95
N21A2,kenneth,Adelie,18.1,37.2,178.0,3.9
N29A2,hartland,Gentoo,15.1,48.1,209.0,5.5
N33A1,julia,Gentoo,14.5,47.6,215.0,5.4
N23A2,algonquin,Adelie,21.1,39.2,196.0,4.15
N8A2,reserve,Gentoo,17.3,50.8,228.0,5.6
N8A2,oconto,Gentoo,13.9,43.6,217.0,4.9
N35A1,north branch,Adelie,17.2,39.6,196.0,3.55
N21A1,augusta,Gentoo,14.4,48.4,203.0,4.625
N24A1,waukesha,Adelie,20.0,38.8,190.0,3.95
N64A1,sherman park,Chinstrap,19.8,52.7,197.0,3.725
N66A1,new hampshire,Chinstrap,18.2,46.1,178.0,3.25
N34A2,meade,Gentoo,15.3,46.7,219.0,5.2
N68A2,kennicott,Chinstrap,20.3,51.7,194.0,3.775
N42A1,stevenson,Gentoo,14.5,46.5,213.0,4.4
N53A2,meredith,Adelie,20.0,38.2,190.0,3.9
N53A2,wells,Gentoo,15.0,50.7,223.0,5.55
N4A2,hubbard,Adelie,19.6,39.2,195.0,4.675
N72A2,summerdale,Chinstrap,18.2,49.2,195.0,4.4
N67A2,maria,Adelie,18.5,41.4,202.0,3.875
N73A2,wilton,Chinstrap,17.5,48.5,191.0,3.4
N68A1,olmsted,Chinstrap,17.8,46.6,193.0,3.8
N98A1,tonty,Chinstrap,17.0,45.7,195.0,3.65
N63A2,university,Adelie,20.5,37.3,199.0,3.775
N39A2,nashville,Gentoo,15.7,50.4,222.0,5.75
N48A1,besly,Adelie,17.3,36.2,187.0,3.3
N19A1,doty,Gentoo,14.7,44.5,214.0,4.85
N40A1,minerva,Gentoo,14.5,46.2,209.0,4.8
N78A2,lothair,Adelie,20.1,40.2,200.0,3.975
N41A1,mozart,Adelie,17.8,37.3,191.0,3.35
N13A1,haddock,Gentoo,14.2,46.6,210.0,4.85
N76A1,dean,Adelie,18.5,36.8,193.0,3.5
N18A2,mary,Adelie,18.9,40.5,180.0,3.95
N6A2,leland,Gentoo,15.9,50.0,224.0,5.35
N69A2,blackhawk,Chinstrap,20.7,52.0,210.0,4.8
